가고일스, gargoyles
몰폴로지, morphology
몰피셉틴, morphiceptin
몹, Mob
몹, mob
몹, mop
몽골리안, mongolian
몽구스, mongoose
몽모리오나이트, montmorillonite
몽모릴로나이트, montmorillonite
몽키, monkey
몽키스, Monkees
무거, muger
무드, mood
무드스윙어, moodswinger
무렉시드, murexide
무루무루, murumuru
무무, muumuu
무버블, movable
셀, shell
무브드, moved
휴먼, human
프래그먼트, fragment
무비라마, movirama
무비올라, moviola
무비톤, movietone
무빙, moving
바스켓볼, basketball
위드아웃, without
워크웨이, walkway
무스, moose
무스카리, muscari
무스카린, muscarine
무스콘, muscone
무스탕, mustang
무스트란, MUSTRAN
무어, moor
무어링, mooring
클리트, cleat
무에진, muezzin
무코비시도시스, mucoviscidosis
무크, mook
무크라, mukhra
무타아제, mutase
무피로신, mupirocin
문라이트, moonlight
문설트, moonsault
스톤, stone
문썰트, moonsault
문워크, moonwalk
문워킹, moonwalking
문착, muntjac
뭉고, mungo
뮤, mu
뮤라미데이스, muramidase
뮤래시드, murexide
뮤레인, murein
뮤메탈, mumetal
뮤시노겐, mucinogen
뮤신, mucin
뮤얼리, mewelry
뮤온, muon
뮤작, muzak
뮤즈, MUSE
뮤즈팩, musepack
뮤즐리, muesli
뮤지션, musician
뮤지엄, museum
굿, goods
뮤지올로지, museology
보우, bow
텔레그래프, telegraph
판타지, fantasy
뮤지컬리, musically
인텔리전트, intelligent
마우스, Mouse
머신, Machine
뮤직, MUSIC
앤, N
인스트러먼트, instrument
키트, Kit
뮤직라이터, musicwriter
뮤추얼, mutual
뮤코글로불린, mucoglobulin
뮤코비시도시스, mucoviscidosis
뮤코이드, mucoid
뮤코펩티드, mucopeptide
뮤타아제, mutase
뮤테이션, mutation
뮤테이스, mutase
뮤테이터, mutator
뮤톤, muton
뮤티드, muted
미그레닌, migraenin
미그마타이트, migmatite
미나렛, minaret
미낙솔론, minaxolone
미너렛, minaret
미네랄, mineral
스피릿, spirit
코르티코이드, corticoid
태니지, tannage
테레빈, terebin
미네랄로지, mineralogy
미노사이클린, minocycline
미녹시딜, minoxidil
미뉴에트, minuet
미니, Mini
시저스, scissors
컴포넌트, component
크리놀린, crinoline
페티, petticoat
페티코트, petticoat
페티, petti
미니건, Minigun
미니드레스, minidress
미니디스크, minidisk
미니마, minima
미니마이저, minimizer
맥스, max
미니맥스, minimax
미니멀, minimal
시어터, theatre
테크노, techno
미니멀리즘, minimalist
스패닝, spanning
미니미터, minimeter
미니바, minibar
미니밴, minivan
미니버스, minibus
슈퍼컴퓨터, supercomputer
미니어처, miniature
피그, pig
미니어쳐, miniature
미니카, minicar
미니컴퓨터, minicomputer
미님, minim
미닛, minute
미닝, meaning
미다졸람, midazolam
미달레인, mydaleine
미댈리언, medallion
미도드린, midodrine
미드, MID
미드, mid
사이, thigh
스팬, span
미드, Mid
페닌, Pennine
아츠, Arts
미드나이트, midnight
미드나잇, midnight
미드나잇, Midnight
익스프레스, Express
카우보이, Cowboy
미드리프, midriff
미드밴드, midband
미드십, midship
미드필드, midfield
미들, middle
가드너, gardener
라인배커, linebacker
스타일스, styles
클래쉬, clash
클래시, clash
스피닝, spinning
올드, old
미들링, middling
미디, MIDI
미디, middy
머저, merger
셀렉터, selector
스펙, spec
액티브, active
앵클, ankle
옴니, omni
임플리먼테이션, implementation
채널라이저, channelizer
타임스탬핑, timestamping
패러럴, parallel
미디데스크, MIDIdesk
미디쉐어, MIDIShare
렙, representative
베이, Bay
히스토리, History
이레이저, eraser
컨버전, conversion
파사드, facade
포럼, forum
미디어크라시, mediacracy
미디언, median
미디엄, medium
아이섀도, eyeshadow
미디움, medium
미디포머, MidiFormer
미라시듐, miracidium
미라시디움, miracidium
미라지, mirage
미란다, miranda
미러리스, mirrorless
미러클, miracle
미렉스, mirex
미로데나필, mirodenafil
미로시나아제, myrosinase
미로신, myrosin
미로파란, myrobalan
미로프로펜, miroprofen
미르리논, milrinone
미르베마이신, milbemycin
미르센, myrcene
미르타자핀, mirtazapine
미리모스팀, mirimostim
미리스티신, myristicin
미모사, mimosa
미모신, mimosine
미믹, mimic
미바쿠리움, mivacurium
미센스, missense
미셀, micelle
미셀러니, miscellany
미션, mission
크리티컬, critical
미스, MIS
미스드, missed
미스디렉션, misdirection
미스리드, misread
미스리딩, misleading
미스매치, missmatch
미스매치드, mismatched
미스매치트, mismatched
미스센스, missense
코돈, codon
미스캐스트, miscast
미스터리, mystery
샤퍼, shopper
쇼퍼, shopper
미스테리, mystery
미스티, misty
미스티시즘, mysticism
미스프린트, misprint
미슬토, mistletoe
미시스, mysis
미시즈, misses
미싱, missing
미안세린, mianserin
미어캣, meerkat
미엘린, myelin
미오그래프, myograph
미오글로불린, myoglobulin
미오글로빈, myoglobin
미오신, myosin
미오크롬, myochrome
미오필라멘트, myofilament
미즈, Ms
스트롱, strong
미즌, mizzen
미즐링, measling
미지트, midget
올오버, allover
미츠, mitts
미카마이신, mikamycin
미카펀진, micafungin
미케니컬, mechanical
미코나졸, miconazole
미코박테륨, mycobacterium
미크로티, microti
아비움, avium
얼서란스, ulcerans
칸사시, kansasii
파라투베르굴로시스, paratuberculosis
미코박테리아, mycobacteria
미코톡신, mycotoxin
미코페놀레이트, mycophenolate
모페틸, mofetil
미코플라스마, mycoplasma
호미니스, hominis
미크로레이어, microlayer
미크로버너, microburner
미크로좀, microsome
미크로폴리포니, micropolyphony
미크론, micron
미타, mita
암페어, ampere
미터링, metering
제트, jet
미텐스, mittens
미텔쉬멜츠, mittelschmerz
미토겐, mitogen
미토마이신, mitomycin
미토젠, mitogen
미토콘드리아, mitochondrial
게놈, genom
미토플라스트, mitoplast
미톡산트론, mitoxantrone
투, too
플레인, mansplain
미트, meet
미트, meat
미트라타피드, mitratapide
미트볼, meatball
미튼, mitten
미티게이션, mitigation
미페프리스톤, mifepristone
미포머, meformer
믹소바이러스, myxovirus
믹소트, mixote
믹솔로지스트, mixologist
믹솔리디안, mixolydian
식스, sixth
더블즈, doubles
믹스드, mixed
믹스올, mixall
믹스처, mixture
포섬, foursome
볼, bowl
솔로, solo
스테레오, stereo
헤드룸, headroom
믹타, MIKTA
믹톤, micton
믹트, MIKT
민스, mince
민스, means
에그스, eggs
민스트럴, minstrel
민스트럴즈, minstrels
민트, mint
민튼스, Mintons
플레이하우스, Playhouse
밀, mil
밀, MIL
에스티디, STD
티켓, ticket
프렙, prep
밀나시프란, milnacipran
밀넷, MILNET
밀듀우, mildew
밀드, milled
밀드레드, Mildred
피어스, Pierce
밀라니즈, milanese
밀라인, milline
밀러레이터, millerator
밀레니얼, millennial
소셜리즘, socialism
밀레니엄, millennium
밀레다임, milledigm
밀로나이트, mylonite
밀로돈, mylodon
밀리, millimeter
밀리, milli
밀리갈, milligal
밀리그램, milligram
밀리너리, millinery
밀리논, milrinone
밀리리터, milliliter
밀리몰, millimole
밀리미크론, millimicron
밀리미터, millimeter
밀리바, millibar
밀리볼트, millivolt
밀리세컨드, millisecond
밀리시버트, millisievert
밀리암미터, milliammeter
밀리암페어, milliampere
밀리어, miliare
밀리언, million
밀리엄, milium
플러스, plus
밀리오스몰, milliosmole
밀리퀴리, millicurie
밀리터리, military
아마추어, amateur
밀링, milling
스펙, SPEC
밀웜, mealworm
필, peel
캐러멜, caramel
밀키, milky
밀토니아, miltonia
밈, meme
밈드, MIMD
밉스, MIPS
벤더, bender
셰이프트, shaped
태킹, tacking
택, tack
폴더, folder
바가드, bagad
바게닝, bargaining
쎄일, sale
바글라마스, baglamas
바나나, BANANA
바나도크롬, vanadochrome
바나듐, vanadium
바나디나이트, banadinite
바니, barney
바니쉬, varnish
바니싱, vanishing
바닐라, vanilla
아이스크림, icecream
바닐린, vanillin
바더, bother
바드, barred
버든, burden
스크럽, scrub
시져스, scissors
필로우, pillow
랭기지, language
바디빌더, bodybuilder
바디빌딩, bodybuilding
바디즘, bodyism
바디클렌징, bodycleansing
바라이트, barite
바라칸, barracan
바라쿠다, barracuda
바랄, bharal
바런, balun
바레, barre
바렌스, varens
바로미터, barometer
바로스위치, baroswitch
바로스피어, barosphere
바로잉, borrowing
바뢰즈, vareuse
바륨, barium
페라이트, ferrite
플라티노사이아나이드, platinocyanide
플라티노시아나이드, platinocyanide
바르데나필, vardenafil
바르발로인, barbaloin
바르벡사클론, barbexaclone
바르비탈, barbital
바르비튜레이트, barbiturate
바르토넬라, Bartonella
바리스터, varistor
바리오미터, variometer
바리온, baryon
바리움, barium
바리케이드, barricade
바리케이트, barricade
바리콘, varicon
바리타, baryta
바리톤, baritone
바, ba
바링, barring
바미도티온, vamidothion
바미핀, bamipine
바미필린, bamifylline
바바리, Burberry
바버리즘, barbarism
바버숍, barbershop
하모니, harmony
바버스, barbers
바베리, barberry
바베시아, babesia
바베큐, barbecue
저크, jerk
타월, towel
핵, hack
바벳, babet
바비루사, babirusa
바비아나, babiana
바비큐, barbecue
범프, bump
폭, pork
바서티, varsity
바셀린, vaseline
바셋, basset
하운드, hound
바소린, bassorin
바소토신, vasotocin
바소프레신, vasopressin
바솔리스, batholis
바수니스트, bassoonist
스크램블, scramble
아이큐, IQ
바스크트, basqued
바스트, bust
바시트라신, bacitracin
바실러스, bacillus
푸밀러스, pumilus
바실루스, bacillus
브레비스, brevis
바실리스크, basilisk
바실리시맙, basiliximab
바실리카, basilica
바실리콘, basilicon
바실린, bacillin
바아, bar
바안, barn
바우, bow
스러스터, thruster
바우라인, bowline
바우스프릿, bowsprit
바우처, voucher
바우트, bout
바우히니아, bauhinia
페이스트, faced
바운서, bouncer
바운싱, bouncing
바유, Bayou
바이, bye
바이게모니, bigemony
바이날, vinal
바이너리, binary
세마포, semaphore
시디엠에이, CDMA
카운트다운, countdown
칼럼, column
바이노럴, binaural
로컬라이제이션, localization
바이닐, vinyl
바이닐라이덴, vinylidene
바이닐론, vinylon
바이닐리덴, vinylidene
바이닐비탈, vinylbital
아세틸렌, acetylene
에스터, ester
에스테르, ester
피리딘, pyridine
바이래터럴, bilateral
캡시드, capsid
클리어런스, clearance
바이럴, viral
바이레이디얼, biradial
바이로이드, viroid
바이리온, virion
바이, bi
바이모르프, bimorph
바이모스, BIMOS
바이백, buyback
바이브레이션, vibration
업소브, absorber
바이브레이터, vibrator
바이브레이팅, vibrating
바이브로플로테이션, vibroflotation
바이블, bible
바이비세이트, vibesate
바이사이클로헥실, bicyclohexyl
바이삼, BISAM
바이섹트, bisect
바이스, vice
스킵, skip
펜치, pincers
바이스태틱, bistatic
바이, Bi
시모스, CMOS
엘에스아이, LSI
바이시클, Bicycle
빌트, Built
포, For
투, Two
바이시클링, bicycling
바이싱크, BISYNC
바이아세틸, biacetyl
바이알, vial
바이애슬론, biathlon
앰플러피케이션, amplification
피싱, piecing
스펙트럼, spectrum
바이어스, buyers
바이얼런트, violent
바이에라, baiera
엠플리피케이션, amplification
바이오가스, biogas
바이오겔, biogel
바이오글라스, bioglass
바이오너서리, bionursery
바이오너서리, bionersery
바이오닉, bionic
바이오닉스, bionics
바이오디젤, biodiesel
바이오레메디에이션, bioremediation
바이오루미네선스, bioluminescence
바이오리듬, biorhythm
바이오리액터, bioreactor
바이오리파이너리, biorefinery
바이오마이신, viomycin
바이오마커, biomarker
바이오매스, biomass
바이오메스, biomass
바이오메카닉스, biomechanics
바이오메탈, biometal
바이오메트릭, biometric
바이오메트릭스, biometrics
바이오모니터, biomonitor
바이오모픽, biomorphic
바이오뮤직, biomusic
바이오미메틱스, biomimetics
바이오미미크리, biomimicry
바이오뱅크, biobank
바이오버그, biobug
바이오버든, bioburden
바이오베터, biobetter
바이오벤팅, bioventing
바이오새털라이트, biosatellite
바이오섭션, biosorption
바이오세라믹스, bioceramics
바이오센서, biosensor
바이오소나, biosonar
솔트, salt
바이오솜, biossome
바이오스코프, bioscope
바이오스트롬, biostrome
바이오스피어, biosphere
바이오슬러핑, bioslurping
바이오시리즈, bioseries
바이오시밀러, biosimilar
바이오시스테마틱스, biosystematics
바이오어세이, bioassay
바이오어큐뮬레이션, bioaccumulation
바이오에세이, bioassay
바이오에어로졸, bioaerosol
바이오에탄올, bioethanol
바이오에틱스, bioethics
바이오엔지니어링, bioengineering
바이오오토그래프, bioautograph
바이오인더스트리, bioindustry
바이오일렉트로닉스, bioelectronics
바이오제닉, biogenic
바이오젤, biogel
바이오칩, biochip
바이오컴퓨터, biocomputer
바이오클러스터, biocluster
바이오타입, biotype
바이오텍스트, biotext
바이오텔레메트리, biotelemetry
바이오트론, biotron
바이오틴, biotin
바이오파울링, biofouling
바이오팜, biofarm
바이오패닝, biopanning
바이오팩, biopak
바이오팩터, biofactor
바이오포어, biophore
바이오포이에시스, biopoiesis
바이오플로큘레이션, bioflocculation
바이오피드백, biofeedback
하즈, haz
바이오해저드, biohazard
바이오험, bioherm
바이오홀로닉스, bioholonics
바이올렌스, violence
바이올리니스트, violinist
바이올린, violin
바이옴, biome
바이유, bayou
바이저, visor
바이젠더, bigender
바이치, veitch
바이칼라, bicolor
바이칼레인, bicalein
바이칼린, baicalin
바이캐리어스, vicarious
바이커, biker
바이콘, bicorn
바이콜로지, bicology
바이쿠쿨린, bicuculline
타즈, tards
바이타글라스, vitaglass
바이타램프, vitalamp
바이타민, vitamin
에프, F
바이타폰, vitaphone
바이탈, vital
싸인, sign
바이터스코프, vitascope
바이털, vital
바이털리즘, vitalism
바이트, bite
멀티플렉싱, multiplexing
바이틀, vital
바이팅, biting
바이페닐, biphenyl
바이폴, bipole
바이폴라, bipolar
바이폴러, bipolar
바이플라보노이드, biflavonoid
바이플레이션, biflation
바이플레인, biplane
바이호크, bihawk
바인더, binder
번아웃, burnout
바일래터럴, bilateral
바잉, buying
오퍼, offer
바자, bazaar
캔틴, canteen
바주카, bazooka
바질, basil
바차타, bachata
바, bak
쿠, kut
테, teh
바큐로바이러스, baculovirus
바큘로바이러스, baculovirus
바큠, vacuum
바크, bark
바크로펜, baclofen
바클로펜, baclofen
바타, bata
바터, barter
바터모니움, bottomonium
브라켓, bracket
바텐더, bartender
바톤, baton
바톤, Barton
핑크, Fink
바트, baht
바트나, BATNA
바티크, batik
바플, baffle
바히아그라스, bahiagrass
박따, bhakta
보텀스, bottoms
아우트, out
컴비네이션, combination
컬버트, culvert
코니스, cornice
티저, teaser
박스클로스, boxcloth
박시, boxy
박테로이드, bacteroid
박테리시딘, bactericidin
박테리아, bacteria
박테리오로돕신, bacteriorhodopsin
박테리오클로로필, bacteriochlorophyll
박테리오파지, bacteriophage
박테리오플라스민, bacterioplasmin
박테린, bacterin
박토프레놀, bactoprenol
반, barn
반, van
크리너, cleaner
반다, vanda
반다나, bandana
반도라, bandora
반디쿠트, bandicoot
반수리, bansuri
반스토밍, barnstorming
반코마이신, vancomycin
반크, VANK
반키바, bankyba
반텡, banteng
발, BAL
발간시클로버, valganciclovir
발간시클로비르, valganciclovir
발간시클로빌, valganciclovir
발데나필, vardenafil
발데콕시브, valdecoxib
발도, baldo
발라라이카, balalaika
발라시클로버, valacyclovir
발라클라바, balaclava
발라타, balata
발라폰, balafon
발란스, balance
발랄라이카, balalaika
발랜시, vallancy
발러스타, balausta
발레리아나, Valeriana
발로판, valofane
발롤핀, valorphin
발루비신, valrubicin
발루키테리움, baluchitherium
발리노마이신, valinomycin
발리스, VALIS
발리즘, ballism
발린, valine
발보, balbo
발보아, balboa
발브리간, balbriggan
발브리간스, balbriggans
발사, balsa
발사르탄, valsartan
발사믹, balsamic
발살바, valsalva
발삼, balsam
발코넷, balconette
발코니, balcony
스포트라이트, spotlight
스폿라이트, spotlight
밤부테롤, bambuterol
밥, bop
밥스테이, bobstay
밥테일드, bobtailed
밧, baht
방갈로, bungalow
방그라, bhangra
방코르, bancor
배거홀릭, bagaholic
래크, rack
배너, banner
배너티, vanity
배니싱, vanishing
스프레이, spray
배닝, vanning
배드, bad
럭, luck
배드랜드, badlands
배드민턴, badminton
배드빙, badbeing
배러시아, barathea
배럴하우스, barrelhouse
배로, barrow
배리, barry
배리스터, varistor
배리스터스, barristers
배리어, barrier
배리어블, variable
배리오틴, variotin
배리캡, varicap
배블, babble
버저, buzzer
피즈, fizz
배스로브, bathrobe
배스티언, bastion
배어, bare
배지, badge
배처러스, bachelors
배칭, batching
배큐엄, vacuum
배클리스, backless
웨이스트코트, waistcoat
스트립, striplight
배터링, battering
페이스드, faced
배턴, baton
배털럼, batalum
배트윙, batwing
배튼, batten
배튼즈, battens
배틀먼트, battlement
크레스트, crest
배틱, battik
배팅, batting
아이스, eyes
애버리지, average
에버리지, average
케이지, cage
헬멧, helmet
배플, baffle
배플, baffl
피어, pier
배플드, baffled
리닝, leanning
리트, lit
버클드, buckled
브리핑, briefing
백, bark
션트, shunt
키잉, keying
스태버, stabber
스테버, stabber
스툴, stool
슬릿, slit
포, fore
업사이드, upside
엠블리시먼트, embllishment
오프, of
원스, ones
일렉트렛, electret
차징, charging
참, charm
크롤, crawl
텀블링, tumbling
티, tee
백, bak
풀, full
풀니스, fullness
프레셔, pressure
플라스터링, plastering
핸드스프링, handspring
백개먼, backgammon
백도어, backdoor
프로그레션, progression
백라이트, backlight
백로그, backlog
백리스, backless
배어드, bared
백보드, backboard
백비트, backbeat
사이트, sight
백스윙, backswing
백스테이지, backstage
백스톱, backstop
백스트레치, backstretch
백스트로크, backstroke
백스페이스, backspace
백야드, backyard
백오프, backoff
매스킹, masking
컬렉션, correction
백워드, backword
웍, walk
백코트, backcourt
백콤, backcomb
백킹, backing
백파이어, backfire
백파이프, bagpipe
백패커, backpacker
백패킹, backpacking
백팩, backpack
스터너, stunner
백팩커, backpacker
백팩킹, backpacking
백프로퍼케이션, backpropagation
백플래인, backplane
백플러시, backflush
백플러싱, backflushing
백플레인, backplane
백필, backfill
백핸드, backhand
그래스프, grasp
찹, chop
백호, backhoe
터미네이터, terminator
밴덜, vandal
밴도, bandeau
밴도어, bandore
리미트, limit
리젯, reject
어시스티드, assisted
프리퀀시, frequency
웨건, Wagon
테라피, therapy
밴드위드, bandwidth
밴드위스, bandwidth
밴들릿, bandelet
밴디, bandy
밴디드, banded
밴디지, bandage
밴조, banjo
밴텀, bantam
밴티지, vantage
밴풀, vanpool
밸러스트, ballast
레귤레이터, regulator
밸러폰, balafon
밸런서, balancer
밸런스, valance
피스톤, piston
밸런스드, balanced
밸런스트, balanced
밸루어블, valuable
밸룬, balun
투모로, tomorrow
밸류에이션, valuation
밸류에이터, valuator
밸리데이션, validation
밸리시스, valisys
밸머칸, blmacaan
밸모럴, balmoral
글리산도, glissando
사이리스터, thyristor
서징, surging
태핏, tappet
트럼본, trombone
트롬본, trombone
포지셔너, positioner
뱀파이어, vampire
뱀프, vamp
뱃지, badge
뱅글, bangle
뱅스, bangs
뱅커스, bankers
뱅커즈, bankers
뱅큇, banquet
프로듀스, produce
셀렉트, select
실렉트, select
와이퍼, wiper
뱅크페이, bankpay
버, burr
버개스, bagasse
버건디, burgundy
바운티, bounty
버그더스터, bugduster
버기, buggy
버날, vernal
버날린, vernalin
버내큘러, vernacular
버너러블, vulnerable
버누스, burnoose
버니, bunny
버니싱, burnishing
캘리퍼스, callipers
버닝, burning
버드, bird
빅, beak
세이버, saver
워칭, watching
버드, Bird
버드케이지, birdcage
버디, birdie
버디, buddy
필름, films
버디백, birdyback
버라지, barrage
버랙터, varactor
버레스크, burlesque
버레터, barretter
버로우, borrow
버루시, barouche
버르, burr
버리, burry
버미큘라이트, vermiculite
버밀리언, vermilion
버밍엄, Birmingham
레퍼토리, Repertory
시어터, Theatre
버배스컴, verbascum
버번, bourbon
인터피어런스, interference
버베나, verbena
버브, verb
옥탄, octant
캐노피, canopy
토슈즈, toeshoes
버블리스트, bubblelist
버블링, bubbling
버서, bertha
버서테일, versatile
버스, berth
트렁킹, trunking
아비터, arbiter
웨이즈, ways
버스보이, busboy
버스킨, buskin
버스킹, busking
버스터, burster
버스트, bust
버스트, versed
사인, sine
싸인, sine
임프루버스, improvers
코사인, cosine
코싸인, cosine
버스트웨어, burstware
버스팅, bursting
버슬, bustle
버어즈, birds
트레포일, trefoil
버이드, boid
버이즈, boids
비터, beater
버전스, vergence
버젯팅, budgeting
버즈, buzz
소우, saw
버즈, birds
버즈비, busby
버지널, virginal
버진, virgin
버추얼, virtual
돌비, dolby
코퍼레이션, corporation
버츄얼, virtual
버커, bucker
버컬, buccal
버켓, bucket
버크, buck
버크럼, buckram
버클륨, berkelium
버클리, berkeley
버클리, Berkeley
리스크, RISC
버클링, buckling
밀커, milker
브리게이드, brigade
트렌처, trencher
버태니컬, botanical
버터드, buttered
버터링, buttering
버터밀크, buttermilk
스펀지, sponge
쿠키, cookie
버터플라이, butterfly
버토닝, buttoning
버트, butt
스플라이스, splice
버트닝, buttoning
버트레스, buttress
태브, tab
버튼드, buttoned
플리티드, pleated
비브, bib
버틀러스, butlers
버티브레이트, vertebrate
버티실리움, verticillium
버티졸, vertisol
핸드오버, handover
버팅, butting
언더런, underrun
버펄로, buffalo
버피, burpee
버피팅, buffeting
버핀스, buffins
버핑, buffing
벅스킨, buckskin
번, bun
번들, bundle
번들링, bundling
번지, bungee
번치, bunch
번트, burnt
시에나, sienna
벌랩, burlap
벌레스크, burlesque
벌레타, burletta
페이먼트, payment
벌류트, volute
벌리더티, validity
벌리스틱, ballistic
벌링, birling
벌지, bulge
벌처, vulture
윙드, winged
벌커나이즈드, vulcanized
벌크, bulk
실리콘, silicon
컨덕턴스, conductance
클래싱, classing
벌키, bulky
오펜스, offense
벌킹, bulking
슬러지, sludge
벌티포르핀, verteporfin
벌티폴핀, verteporfin
범, bum
범스터, bumsters
범퍼, bumper
브림, brim
벗, butt
매소드, method
베가, vega
베가톤, begaton
베거, beggar
베거즈, beggars
베기아토아, Beggiatoa
베끄렐, becquerel
베나, vena
콘트락타, contracta
베네딕틴, benedictine
베네루핀, venerupin
베네페리돌, benperidol
베노밀, benomyl
베녹사프로펜, benoxaprofen
베녹시네이트, benoxinate
베니션, Venetian
클로크, cloak
베니션즈, Venetians
베니아, veneer
베다프로펜, vedaprofen
베델리엄, bdellium
베두이, bedoui
베드가운, bedgown
디제이, dj
베드룸, bathroom
슬리퍼, slipper
베딩, bedding
베라파밀, verapamil
베라프로스트, beraprost
베락, Verac
베란다, veranda
베르갑탄, bergapten
베르노니아, vernonia
베르리넨, berlinen
베르베린, berberine
베르셋, verset
베르소, verso
베르티솔, vertisol
베르티졸, vertisol
베를리나, Berliner
베리, bury
베리, very
베리게이티드, variegated
베리드, varied
베리아트릭, bariatric
베리어, barrier
베리에이션, variation
베리칩, verichip
베리파이, verify
베릴륨, beryllium
베림바우, berimbau
베메그라이드, bemegride
베메세트론, bemesetron
베미돈, bemidone
베미파린, bemiparin
베바씨주맙, bevacizumab
베바트론, bevatron
베반토롤, bevantolol
베버리지, beverage
베벨, bevel
베벨드, bevelde
베사, vesa
베사, Versa
베사, VESA
에이사, EISA
베사큘러, vesicula
베세토, BESETO
베스나리논, vesnarinone
스터프, stuff
티처, teacher
베스트먼트, vestment
베스티, vestee
베스티피탄트, vestipitant
베스팅, vesting
베스파락스, vesparax
베어, bear
레이딩, raiding
서모스탯, thermostat
하우징, housing
베어백, bareback
테디, teddy
베어스킨, bearskin
베어페이스, bareface
베어풋, barefoot
인터로킹, interlocking
베이글, bagel
베이나이트, bainite
베이니, veiny
베이더, vader
베이더설트, vadersault
베이딩, bathing
번팅, bunting
샤워, shower
스튜어트, stuart
카프스킨, calfskin
페어, fair
베이비시터, babysitter
베이살, basal
릴레이션, relation
비올, viol
스크리드, screed
신스, synth
오보에, oboe
볼, balls
볼스, balls
베이스, BASE
클라리넷, clarinet
클레프, clef
튜바, tuba
트랜시버, transceiver
트럼펫, trumpet
페이버, paver
플루트, flute
베이스라인, baseline
베이스먼트, basement
파크, park
베이스볼러, baseballer
베이스볼리스트, baseballist
캠프, camp
베이스코트, basecoat
베이스팅스, bastings
베이시스, bases
호머, hommer
베이시스트, bassist
베이시즈, bases
베이시카, BASICA
서브세트, subset
베이싱, basing
베이어네트, bayonet
베이오넷, bayonet
베이즈, baize
베이지, beige
베이지안, Bayesian
베이직, basic
베이커리, bakery
빈, bin
베이컨트, vacant
베이크, bake
베이크드, baked
베이크트, baked
베이클라이트, bakelite
소다, soda
베이퍼, vapor
베이퍼웨어, vaporware
베일, bale
베일드, veiled
베일러, baler
베일리, bailey
베일리스, baileys
베일리프, bailiff
베일아웃, bailout
보틀, bottle
베자피브레이트, bezafibrate
베전섹슈얼, vegansexual
베지터블, vegetable
태닝, tanning
베지트라미드, bezitramide
베지플레이션, vegeflation
베카익, BACAIC
베카플러민, becaplermin
베컨드, beckoned
온투, onto
오피셜스, officials
베쿠로늄, vecuronium
베크렐, becquerel
베크로늄, vecuronium
베크로니움, vecuronium
베클라이트, bakelite
베클로메타손, beclomethasone
베타, betta
베타네콜, bethanechol
베타레인, betalain
베타맥스, Betamax
베타인, betaine
베타트론, betatron
베터, better
베터, Better
팜, Farm
아티스트, Artists
레지던시, Residency
베텔, betel
베트릭사반, betrixaban
베틀, betel
베티베르, vetiver
베팅, betting
베팅, batting
베포타스틴, bepotastine
설루션, solution
어드미턴스, admittance
벡터라이저, vectorizer
벡터링, vectoring
벡터스코프, vectorscope
벤다작, bendazac
벤더, vendor
벤더, vender
풀리, pulley
벤디오캅, bendiocarb
벤라팍신, venlafaxine
벤설라이드, bensulide
벤세라자이드, benserazide
벤자틴, benzathine
페니실린, penicillin
벤저민, benjamin
벤제티딘, benzethidine
벤젠다이아조늄, benzendiazonium
벤젠디아조늄클, benzenediazonium
로라이드, chloride
벤젠아세토나이트릴, benzeneacetonitrile
벤젠, benzen
헥사클로라이드, hexachloride
벤조, banjo
벤조나이트릴, benzonitrile
벤조나프톨, benzonaphtol
벤조니트릴, benzonitrile
벤조다이아제핀, benzodiazepine
벤조디아제핀, benzodiazepine
벤조바르비탈, benzobarbital
벤조안트라센, benzoanthracene
벤조일, benzoyl
벤조일에타나민, benzoylethanamine
벤조카인, benzocaine
벤조퀴논, benzoquinone
벤조페논, benzophenone
벤조페릴렌, benzoperylene
벤조피렌, benzopyrene
벤즈브로마론, benzbromarone
벤즈아닐라이드, benzanilide
벤즈알데하이드, benzaldehyde
벤즈알데히드, benzaldehyde
벤즈이미다졸, benzimidazole
벤즈트로핀, benztropine
메실레이트, mesylate
벤즈페타민, benzphetamine
벤지딘, benzidine
벤지미다졸, benzimidazole
벤지오다론, benziodarone
벤진, benzine
벤질, benzyl
벤조에이트, benzoate
벤질몰핀, benzylmorphine
벤질아데닌, benzyladenine
벤처, venture
엑소더스, exodus
엔젤, angel
인큐베이터, incubator
인큐베이팅, incubating
캐피탈리스트, capitalist
캐피털리스트, capitalist
프라이머리, primary
시비오, CBO
벤츄리아, venturia
마피아, mapia
맙, mob
클리어링, clearing
테라스, terrace
플로움, flume
벤치마크, benchmark
벤치워머, benchwarmer
벤타일, ventile
벤털레이션, ventilation
이퀴밸런트, equivalent
벤토나이트, bentonite
벤토스, benthos
레터럴, lateral
벤트럴, ventral
벤티드, vented
벤틸레이션, ventilation
트레숄드, threshold
벤틸레이티드, ventilated
벤프라캅, benfuracarb
벤프로페린, benproperine
벤플루랄린, benfluralin
벤플루오렉스, benfluorex
벤, Ben
허, Hur
플레어드, flared
휘슬즈, whistles
벨드, belled
벨라, bella
벨라도나, belladonna
벨라돈나, belladonna
벨라멘, velamen
벨러폰, bellerphon
벨렘나이트, belemnite
벨로드롬, velodrome
벨로스, bellows
센시티비티, sensitivity
크로스페이드, crossfade
벨로즈, bellows
벨로테칸, belotecan
벨루어, velour
치트, chete
벨리거, veliger
벨리드, bellied
벨리스, bellis
벨리저, veliger
벨몬트, belmont
벨베틴, velveteen
자켓, jacket
벨보이, bellboy
벨즈, bells
벨크로, velcro
